dt;seccode;Expiry;Type;Strike;Base;THEORPRICE;Hi;Low;NUMCONTRACTS;NUMTRADES;VOLTODAY;VALTODAY
20200403;BR37BV0;20201027;Put;37;BRX0;7.99;0;0;0;0;0;0;
20200403;BR38BJ0;20201027;Call;38;BRX0;8.44;0;0;0;0;0;0;
20200403;BR38BV0;20201027;Put;38;BRX0;8.54;0;0;0;0;0;0;
20200403;BR39BJ0;20201027;Call;39;BRX0;8.01;0;0;0;0;0;0;
20200403;BR39BV0;20201027;Put;39;BRX0;9.11;0;0;20;0;0;0;
20200403;BR40BJ0;20201027;Call;40;BRX0;7.6;0;0;2;0;0;0;
20200403;BR40BV0;20201027;Put;40;BRX0;9.7;0;0;0;0;0;0;
20200403;BR41BJ0;20201027;Call;41;BRX0;7.21;0;0;0;0;0;0;
20200403;BR41BV0;20201027;Put;41;BRX0;10.31;0;0;0;0;0;0;
20200403;BR42BJ0;20201027;Call;42;BRX0;6.83;0;0;2;0;0;0;
20200403;BR42BV0;20201027;Put;42;BRX0;10.93;0;0;0;0;0;0;
20200403;BR43BJ0;20201027;Call;43;BRX0;6.47;0;0;0;0;0;0;
20200403;BR43BV0;20201027;Put;43;BRX0;11.57;0;0;0;0;0;0;
20200403;BR44BJ0;20201027;Call;44;BRX0;6.14;0;0;2;0;0;0;
20200403;BR44BV0;20201027;Put;44;BRX0;12.24;0;0;0;0;0;0;
20200403;BR45BJ0;20201027;Call;45;BRX0;5.81;0;0;0;0;0;0;
20200403;BR45BV0;20201027;Put;45;BRX0;12.91;0;0;0;0;0;0;
20200403;BR46BJ0;20201027;Call;46;BRX0;5.51;0;0;0;0;0;0;
20200403;BR46BV0;20201027;Put;46;BRX0;13.61;0;0;0;0;0;0;
20200403;BR55BJ0;20201027;Call;55;BRX0;3.39;1;1;4;1;2;84654.13;
20200403;BR55BV0;20201027;Put;55;BRX0;20.49;0;0;0;0;0;0;
20200403;BR56BJ0;20201027;Call;56;BRX0;3.21;5;5;4;1;2;86193.3;
20200403;BR56BV0;20201027;Put;56;BRX0;21.31;0;0;0;0;0;0;
20200403;BR57BJ0;20201027;Call;57;BRX0;3.04;0;0;0;0;0;0;
20200403;BR57BV0;20201027;Put;57;BRX0;22.14;0;0;0;0;0;0;
20200403;BR58BJ0;20201027;Call;58;BRX0;2.89;0;0;0;0;0;0;
20200403;BR58BV0;20201027;Put;58;BRX0;22.99;0;0;0;0;0;0;
20200403;BR59BJ0;20201027;Call;59;BRX0;2.74;0;0;0;0;0;0;
20200403;BR59BV0;20201027;Put;59;BRX0;23.84;0;0;0;0;0;0;
20200403;BR60BJ0;20201027;Call;60;BRX0;2.6;0;0;0;0;0;0;
20200403;BR60BV0;20201027;Put;60;BRX0;24.7;0;0;0;0;0;0;
20200403;BR61BJ0;20201027;Call;61;BRX0;2.47;0;0;0;0;0;0;
20200403;BR61BV0;20201027;Put;61;BRX0;25.57;0;0;0;0;0;0;
20200403;BR62BJ0;20201027;Call;62;BRX0;2.34;0;0;0;0;0;0;
20200403;BR62BV0;20201027;Put;62;BRX0;26.44;0;0;0;0;0;0;
20200403;BR63BJ0;20201027;Call;63;BRX0;2.23;0;0;0;0;0;0;
20200403;BR63BV0;20201027;Put;63;BRX0;27.33;0;0;0;0;0;0;
20200403;BR64BJ0;20201027;Call;64;BRX0;2.12;0;0;4;0;0;0;
20200403;BR64BV0;20201027;Put;64;BRX0;28.22;0;0;0;0;0;0;
20200403;BR65BJ0;20201027;Call;65;BRX0;2.01;0;0;4;0;0;0;
20200403;BR65BV0;20201027;Put;65;BRX0;29.11;0;0;0;0;0;0;
20200403;RI15000BF0;20200618;Call;15000;RIM0;88950;0;0;0;0;0;0;
20200403;RI17500BF0;20200618;Call;17500;RIM0;86470;87910;87760;6;6;6;161612.43;
20200403;RI20000BF0;20200618;Call;20000;RIM0;84000;0;0;0;0;0;0;
20200403;RI22500BF0;20200618;Call;22500;RIM0;81550;0;0;0;0;0;0;
20200403;RI25000BF0;20200618;Call;25000;RIM0;79100;0;0;0;0;0;0;
20200403;RI27500BF0;20200618;Call;27500;RIM0;76680;0;0;0;0;0;0;
20200403;RI30000BF0;20200618;Call;30000;RIM0;74260;0;0;0;0;0;0;
20200403;RI32500BF0;20200618;Call;32500;RIM0;71860;0;0;0;0;0;0;
